id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,318,ORANG,2018
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,112,ORANG,2018
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,124,ORANG,2018
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,219,ORANG,2018
5,32,JAWA BARAT,3205,KABUPATEN GARUT,107,ORANG,2018
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,40,ORANG,2018
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,66,ORANG,2018
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,78,ORANG,2018
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,278,ORANG,2018
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,92,ORANG,2018
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,61,ORANG,2018
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,407,ORANG,2018
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,230,ORANG,2018
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,194,ORANG,2018
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,92,ORANG,2018
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,203,ORANG,2018
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,71,ORANG,2018
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,38,ORANG,2018
19,32,JAWA BARAT,3271,KOTA BOGOR,446,ORANG,2018
20,32,JAWA BARAT,3272,KOTA SUKABUMI,161,ORANG,2018
21,32,JAWA BARAT,3273,KOTA BANDUNG,1054,ORANG,2018
22,32,JAWA BARAT,3274,KOTA CIREBON,65,ORANG,2018
23,32,JAWA BARAT,3275,KOTA BEKASI,360,ORANG,2018
24,32,JAWA BARAT,3276,KOTA DEPOK,227,ORANG,2018
25,32,JAWA BARAT,3277,KOTA CIMAHI,104,ORANG,2018
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,121,ORANG,2018
27,32,JAWA BARAT,3279,KOTA BANJAR,7,ORANG,2018
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,475,ORANG,2019
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,112,ORANG,2019
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,ORANG,2019
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,179,ORANG,2019
32,32,JAWA BARAT,3205,KABUPATEN GARUT,0,ORANG,2019
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,77,ORANG,2019
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,95,ORANG,2019
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,91,ORANG,2019
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,257,ORANG,2019
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,97,ORANG,2019
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,104,ORANG,2019
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,151,ORANG,2019
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,339,ORANG,2019
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,197,ORANG,2019
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,255,ORANG,2019
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,222,ORANG,2019
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,36,ORANG,2019
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,26,ORANG,2019
46,32,JAWA BARAT,3271,KOTA BOGOR,443,ORANG,2019
47,32,JAWA BARAT,3272,KOTA SUKABUMI,57,ORANG,2019
48,32,JAWA BARAT,3273,KOTA BANDUNG,357,ORANG,2019
49,32,JAWA BARAT,3274,KOTA CIREBON,189,ORANG,2019
50,32,JAWA BARAT,3275,KOTA BEKASI,335,ORANG,2019
51,32,JAWA BARAT,3276,KOTA DEPOK,247,ORANG,2019
52,32,JAWA BARAT,3277,KOTA CIMAHI,44,ORANG,2019
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,105,ORANG,2019
54,32,JAWA BARAT,3279,KOTA BANJAR,47,ORANG,2019
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,417,ORANG,2020
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,110,ORANG,2020
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,189,ORANG,2020
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,176,ORANG,2020
59,32,JAWA BARAT,3205,KABUPATEN GARUT,5,ORANG,2020
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,95,ORANG,2020
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,62,ORANG,2020
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,48,ORANG,2020
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,251,ORANG,2020
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,87,ORANG,2020
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,100,ORANG,2020
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,275,ORANG,2020
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,247,ORANG,2020
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,234,ORANG,2020
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,315,ORANG,2020
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,134,ORANG,2020
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,67,ORANG,2020
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,16,ORANG,2020
73,32,JAWA BARAT,3271,KOTA BOGOR,364,ORANG,2020
74,32,JAWA BARAT,3272,KOTA SUKABUMI,41,ORANG,2020
75,32,JAWA BARAT,3273,KOTA BANDUNG,82,ORANG,2020
76,32,JAWA BARAT,3274,KOTA CIREBON,342,ORANG,2020
77,32,JAWA BARAT,3275,KOTA BEKASI,322,ORANG,2020
78,32,JAWA BARAT,3276,KOTA DEPOK,220,ORANG,2020
79,32,JAWA BARAT,3277,KOTA CIMAHI,361,ORANG,2020
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,130,ORANG,2020
81,32,JAWA BARAT,3279,KOTA BANJAR,68,ORANG,2020
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,430,ORANG,2021
